theta1,theta2,theta3,theta4,x,y,z,qx,qy,qz,qw,roll,pitch,yaw
-1.57,0.357,0.259,-1.072,0.012,-0.282,0.172,-0.16,-0.16,-0.689,0.689,3.142,2.685,1.571
-1.57,0.361,0.273,-1.085,0.012,-0.281,0.169,-0.158,-0.158,-0.689,0.69,3.141,2.691,1.572
-1.57,0.37,0.297,-1.109,0.012,-0.28,0.164,-0.154,-0.154,-0.69,0.69,3.142,2.702,1.571
-1.57,0.375,0.315,-1.125,0.012,-0.279,0.161,-0.153,-0.153,-0.69,0.691,3.141,2.705,1.572
-1.57,0.379,0.329,-1.138,0.012,-0.278,0.158,-0.151,-0.151,-0.691,0.691,3.142,2.711,1.571
-1.57,0.383,0.342,-1.151,0.012,-0.278,0.156,-0.149,-0.149,-0.691,0.691,3.142,2.717,1.571
-1.57,0.388,0.356,-1.164,0.012,-0.277,0.153,-0.147,-0.148,-0.691,0.692,3.14,2.721,1.572
-1.57,0.392,0.369,-1.176,0.012,-0.276,0.151,-0.146,-0.146,-0.692,0.692,3.142,2.726,1.571
-1.57,0.396,0.382,-1.189,0.012,-0.275,0.149,-0.144,-0.144,-0.692,0.693,3.141,2.732,1.572
-1.57,0.404,0.406,-1.213,0.012,-0.274,0.144,-0.141,-0.141,-0.693,0.693,3.142,2.74,1.571
-1.57,0.408,0.42,-1.225,0.012,-0.273,0.142,-0.139,-0.139,-0.693,0.694,3.141,2.746,1.572
-1.57,0.412,0.433,-1.237,0.012,-0.272,0.14,-0.138,-0.138,-0.693,0.694,3.141,2.749,1.572
-1.57,0.416,0.445,-1.248,0.012,-0.271,0.137,-0.136,-0.136,-0.694,0.694,3.142,2.755,1.571
-1.57,0.42,0.457,-1.26,0.012,-0.27,0.135,-0.134,-0.135,-0.694,0.694,3.14,2.759,1.571
-1.57,0.42,0.457,-1.26,0.012,-0.268,0.131,-0.131,-0.132,-0.694,0.695,3.14,2.767,1.572
-1.57,0.431,0.492,-1.293,0.012,-0.268,0.129,-0.13,-0.13,-0.695,0.695,3.142,2.772,1.571
-1.57,0.434,0.504,-1.303,0.012,-0.267,0.128,-0.129,-0.129,-0.695,0.696,3.141,2.775,1.572
-1.57,0.438,0.515,-1.314,0.012,-0.266,0.126,-0.127,-0.127,-0.695,0.696,3.141,2.78,1.572
-1.57,0.441,0.525,-1.324,0.012,-0.265,0.124,-0.126,-0.126,-0.696,0.696,3.142,2.783,1.571
-1.57,0.445,0.536,-1.334,0.012,-0.264,0.122,-0.124,-0.124,-0.696,0.696,3.142,2.789,1.571
-1.57,0.448,0.547,-1.344,0.012,-0.263,0.121,-0.123,-0.123,-0.696,0.697,3.141,2.792,1.572
-1.57,0.451,0.557,-1.354,0.012,-0.262,0.119,-0.122,-0.122,-0.696,0.697,3.141,2.795,1.572
-1.57,0.457,0.577,-1.373,0.012,-0.26,0.116,-0.119,-0.119,-0.697,0.697,3.142,2.803,1.571
-1.57,0.46,0.586,-1.382,0.012,-0.259,0.115,-0.118,-0.118,-0.697,0.697,3.142,2.806,1.571
-1.57,0.463,0.595,-1.39,0.012,-0.259,0.113,-0.117,-0.117,-0.697,0.698,3.141,2.809,1.572
-1.57,0.466,0.605,-1.399,0.012,-0.258,0.112,-0.116,-0.116,-0.697,0.698,3.141,2.812,1.572
-1.57,0.469,0.613,-1.407,0.012,-0.257,0.111,-0.114,-0.115,-0.697,0.698,3.14,2.816,1.572
-1.57,0.472,0.622,-1.416,0.012,-0.256,0.109,-0.113,-0.113,-0.698,0.698,3.142,2.821,1.571
-1.57,0.477,0.639,-1.431,0.012,-0.254,0.107,-0.111,-0.111,-0.698,0.699,3.141,2.826,1.572
-1.57,0.479,0.646,-1.439,0.012,-0.254,0.106,-0.11,-0.11,-0.698,0.699,3.141,2.829,1.572
-1.57,0.482,0.654,-1.446,0.012,-0.253,0.105,-0.109,-0.109,-0.698,0.699,3.141,2.832,1.572
-1.57,0.484,0.662,-1.453,0.012,-0.252,0.104,-0.108,-0.108,-0.698,0.699,3.141,2.835,1.572
-1.57,0.486,0.669,-1.46,0.012,-0.251,0.103,-0.107,-0.107,-0.699,0.699,3.142,2.838,1.571
-1.57,0.491,0.682,-1.473,0.012,-0.25,0.101,-0.106,-0.106,-0.699,0.699,3.142,2.841,1.571
-1.57,0.493,0.689,-1.479,0.012,-0.249,0.1,-0.105,-0.105,-0.699,0.7,3.141,2.844,1.572
-1.57,0.495,0.695,-1.485,0.012,-0.249,0.099,-0.104,-0.104,-0.699,0.7,3.141,2.846,1.572
-1.57,0.497,0.701,-1.491,0.012,-0.248,0.099,-0.103,-0.103,-0.699,0.7,3.141,2.849,1.572
-1.57,0.498,0.707,-1.496,0.012,-0.247,0.098,-0.102,-0.102,-0.699,0.7,3.141,2.852,1.572
-1.57,0.5,0.713,-1.501,0.012,-0.247,0.097,-0.102,-0.102,-0.699,0.7,3.141,2.852,1.572
-1.57,0.502,0.718,-1.506,0.012,-0.246,0.096,-0.101,-0.101,-0.7,0.7,3.142,2.855,1.571
-1.57,0.503,0.723,-1.511,0.012,-0.246,0.096,-0.1,-0.1,-0.7,0.7,3.142,2.858,1.571
-1.57,0.506,0.732,-1.52,0.012,-0.245,0.095,-0.099,-0.099,-0.7,0.7,3.142,2.861,1.571
-1.57,0.508,0.737,-1.524,0.012,-0.244,0.094,-0.099,-0.099,-0.7,0.7,3.142,2.861,1.571
-1.57,0.509,0.741,-1.528,0.012,-0.244,0.094,-0.098,-0.098,-0.7,0.701,3.141,2.864,1.572
-1.57,0.51,0.745,-1.532,0.012,-0.243,0.093,-0.098,-0.098,-0.7,0.701,3.141,2.864,1.572
-1.57,0.512,0.749,-1.535,0.012,-0.243,0.093,-0.097,-0.097,-0.7,0.701,3.141,2.866,1.572
-1.57,0.513,0.752,-1.539,0.012,-0.242,0.092,-0.097,-0.097,-0.7,0.701,3.141,2.866,1.572
-1.57,0.514,0.755,-1.542,0.012,-0.242,0.092,-0.096,-0.096,-0.7,0.701,3.141,2.869,1.572
-1.57,0.515,0.758,-1.545,0.012,-0.242,0.091,-0.096,-0.096,-0.7,0.701,3.141,2.869,1.572
-1.57,0.516,0.764,-1.55,0.012,-0.241,0.091,-0.095,-0.095,-0.7,0.701,3.141,2.872,1.572
-1.57,0.517,0.766,-1.552,0.012,-0.241,0.09,-0.095,-0.095,-0.7,0.701,3.141,2.872,1.572
-1.57,0.518,0.769,-1.555,0.012,-0.24,0.09,-0.094,-0.095,-0.7,0.701,3.14,2.873,1.572
-1.57,0.519,0.771,-1.557,0.012,-0.24,0.09,-0.094,-0.094,-0.701,0.701,3.142,2.875,1.571
-1.57,0.519,0.773,-1.558,0.012,-0.24,0.09,-0.094,-0.094,-0.701,0.701,3.142,2.875,1.571
-1.57,0.52,0.774,-1.56,0.012,-0.24,0.09,-0.094,-0.094,-0.701,0.701,3.142,2.875,1.571
