theta1,theta1_pred,theta2,theta2_pred,theta3,theta3_pred,theta4,theta4_pred
0.523,0.5201415,0.222,0.22304362,-0.168,-0.17193322,-0.668,-0.6664383
0.523,0.52243745,0.0,-0.00047001615,-0.873,-0.8747094,0.0,-4.3675303e-05
0.523,0.52240777,0.523,0.5258684,0.785,0.78743875,-1.57,-1.5738059
0.523,0.523134,0.281,0.2823111,0.006,0.018406142,-0.834,-0.84510654
0.523,0.52440673,0.412,0.41324338,0.433,0.43162003,-1.237,-1.235643
0.523,0.5221647,0.01,0.009564724,-0.84,-0.84319955,-0.031,-0.030368406
0.523,0.5226848,0.396,0.3924139,0.38,0.3701025,-1.188,-1.1772901
0.523,0.5240898,0.037,0.03591286,-0.757,-0.7591004,-0.11,-0.109419525
0.523,0.52334523,0.482,0.4842946,0.654,0.6567587,-1.446,-1.4496168
0.523,0.52240777,0.523,0.5258684,0.785,0.78743875,-1.57,-1.5738059
0.546,0.55605876,0.171,0.16914257,-0.332,-0.33606294,-0.512,-0.51164424
0.785,0.7827476,0.004,0.0027469955,-0.861,-0.86340183,-0.012,-0.010215204
0.785,0.7837411,0.025,0.02414148,-0.795,-0.7986971,-0.074,-0.0738129
0.785,0.7856012,0.514,0.5150218,0.755,0.75439835,-1.542,-1.5411023
0.785,0.7812005,0.171,0.17255788,-0.327,-0.32470095,-0.516,-0.5200638
0.785,0.78429675,0.431,0.43379292,0.492,0.5000762,-1.293,-1.3009005
0.785,0.7805909,0.02,0.018808428,-0.811,-0.8141975,-0.059,-0.057294242
0.785,0.78303164,0.001,0.0007838048,-0.869,-0.8685506,-0.004,-0.0045539048
0.785,0.7849773,0.072,0.07140531,-0.644,-0.64426917,-0.216,-0.21957496
0.785,0.78364486,0.392,0.39240837,0.385,0.37119147,-1.191,-1.1794692
0.785,0.7856012,0.513,0.5150218,0.752,0.75439835,-1.539,-1.5411023
0.785,0.78386354,0.013,0.012229223,-0.833,-0.83417875,-0.038,-0.037752666
0.785,0.78432447,0.329,0.33091053,0.171,0.17997208,-0.988,-0.9975109
0.785,0.78291464,0.419,0.41850477,0.464,0.45098916,-1.266,-1.2556326
0.785,0.7855808,0.5,0.50455487,0.713,0.7214395,-1.501,-1.5103508
0.785,0.7698792,0.131,0.13329184,-0.445,-0.44699892,-0.41,-0.4048933
0.785,0.78474605,0.037,0.036269095,-0.757,-0.7583797,-0.11,-0.11119759
0.785,0.7849819,0.271,0.27205747,-0.012,-0.0061133234,-0.815,-0.8219787
